prime,cutoff,prefix_mean_exact,sample_prefix_standard_deviation_exact
103,1000,4.487678353243945,0.17964799038268262
103,2000,4.4936404961648702,0.13254636003001857
103,4000,4.496177489662041,0.097518359114831601
103,8000,4.497790707984711,0.071482256835923366
107,50,4.3302069460341821,0.62039556904847848
107,250,4.4457136835990925,0.3212247619397347
107,500,4.4731151429893909,0.24124567420949256
107,1000,4.485242198245901,0.17848695702835871
107,2000,4.4920539877376857,0.13193234751919347
107,4000,4.4963003423392376,0.097094065302591487
107,8000,4.4983046569439118,0.071326128594654495
109,50,4.3576198359741012,0.48115451390647274
109,250,4.4673859984626025,0.27009219703025916
109,500,4.4745525643576638,0.20698711071700771
109,1000,4.4860589301894356,0.15546418435915307
109,2000,4.4929697752697662,0.11684876823212692
109,4000,4.4961059338763292,0.087038594193243737
109,8000,4.4976553102115764,0.064264833959389964
113,50,4.3184706723202293,0.54905502887606517
113,250,4.4474827097189849,0.30184235091053085
113,500,4.470315851211959,0.22687502416045535
113,1000,4.486553414908621,0.16971835889546111
113,2000,4.4926447192902472,0.1256369326976382
113,4000,4.4966059981251902,0.092754377877526217
113,8000,4.498499677884495,0.06826659108440257
127,50,4.5025081434822098,0.53053470389803703
127,250,4.4783609503684936,0.2758202155554057
127,500,4.4867854503660363,0.2108835091415949
127,1000,4.4951773730501401,0.15822733156633134
127,2000,4.4962671869702806,0.11814170999073867
127,4000,4.4973155806049974,0.087530724007860314
127,8000,4.4989494494317084,0.064603048385304424
131,50,4.2812414684107782,0.6647559376651897
131,250,4.4373511269404649,0.34361123608150052
131,500,4.4658556795329414,0.25472957293446608
131,1000,4.4804850022956977,0.18731236214749211
131,2000,4.4897319760489864,0.13756754980189531
131,4000,4.4950563347676766,0.10099567650115827
131,8000,4.4970319778645669,0.073744954547813366
137,50,4.4373160313291606,0.480235586457603
137,250,4.4845101653849397,0.2664029854670949
137,500,4.4923159993413231,0.20155687509934206
137,1000,4.4953297413381375,0.15164437962137792
137,2000,4.4966286594949718,0.11339378694458771
137,4000,4.4980766717078051,0.084193364125495801
137,8000,4.4992323307482067,0.062214596778246985
139,50,4.3744629446503289,0.60552991530912137
139,250,4.4667618641768607,0.30934767002592461
139,500,4.4756879317530975,0.22914591743616694
139,1000,4.4878378294899308,0.17171956916470013
139,2000,4.4930360280799073,0.12708224661604511
139,4000,4.4970499100720458,0.093581629385429216
139,8000,4.4985989670061999,0.068659464579265819
149,50,4.3733634212380412,0.68734747592708645
149,250,4.4570669570468171,0.34787516582268568
149,500,4.474679280816809,0.25607736080892152
149,1000,4.4877293863346459,0.18877499010982079
149,2000,4.493164218770608,0.13833456161690255
149,4000,4.4965937410327612,0.10113672874529833
149,8000,4.4981343882832165,0.07380901896824317
151,50,4.3051762406340783,0.60410729836944366
151,250,4.4399435752067538,0.32006521580476288
151,500,4.4633581080417892,0.23945913456436313
151,1000,4.4819013561153342,0.17851736070223923
151,2000,4.4901943316657995,0.13153625912666686
151,4000,4.4951477380595488,0.096342871563647486
151,8000,4.4973609045298524,0.070593676772134753
157,50,4.5684603104721058,0.55337129074591229
157,250,4.5023931126283951,0.29205027967492042
157,500,4.5017073014914049,0.21810042173638441
157,1000,4.4991583551110033,0.1627025111213484
157,2000,4.4999327758327849,0.12046253815511879
157,4000,4.5002072752539251,0.088962116107486028
157,8000,4.4996906299100443,0.065452498722525052
163,50,4.4497201409437448,0.49587594160905896
163,250,4.4810815784154743,0.2727801304464193
163,500,4.4891653766782458,0.20365347033007819
163,1000,4.4947393666495454,0.15243216158361658
163,2000,4.4982564754465528,0.11347381959038656
163,4000,4.4995445816057629,0.084086445726341219
163,8000,4.4996021626889746,0.062083603119100453
167,50,4.5336002467797751,0.59621952035217618
167,250,4.5073125952360229,0.3076859864888421
167,500,4.5029712768642467,0.2290549487570181
167,1000,4.5023394243264852,0.17002717267796419
167,2000,4.5015265010815888,0.12520996027922698
167,4000,4.5004527756370765,0.09203248438283794
167,8000,4.5003377821341335,0.067469148835595433
173,50,4.4876252887112908,0.53820927389182271
173,250,4.5096821456134881,0.28138248000033683
173,500,4.5052421211010358,0.21074695467359894
